,time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol,top_tier_volume_quote,top_tier_volume_base,top_tier_volume_total,cccagg_volume_quote,cccagg_volume_base,cccagg_volume_total,total_volume_quote,total_volume_base,total_volume_total,volume
14,1514419200,15505.51,13466.07,15416.34,170366.63,2425912717.56,14398.7,direct,,4403295244.4,3901819048.64,8305114437.03,5174723451.29,4454925814.89,9629649266.17,10124523226.02,10831125605.77,20955648831.79,13053347098.44
15,1514505600,15109.81,13951.08,14398.45,118874.63,1733583750.2,14392.57,direct,,6118030788.43,2720067060.42,8838097992.78,6934034815.66,3161094553.01,10095129368.68,13648151593.51,7674693451.1,21322845044.6,14620496495.55
16,1514592000,14461.46,11962.09,14392.14,182065.44,2387311023.42,12531.52,direct,,6438300107.8,3290517373.59,9728817356.08,7358912560.2,3864474398.32,11223386958.52,14522401955.82,9226728222.61,23749130053.12,16428134614.24
17,1514678400,14241.82,12359.43,12532.38,111270.55,1492142483.58,13850.4,direct,,5548705281.29,2495302883.93,8044008165.22,6399318040.51,2848941130.51,9248259171.02,12599708602.99,7075550524.13,19675259127.12,12457969288.06
18,1514764800,13921.53,12877.67,13850.49,78425.21,1057521524.42,13444.88,direct,,5046215316.51,1675121127.74,6721336444.25,5798379851.14,1962539453.29,7760919304.43,11398457940.39,4918953880.46,16317411820.85,10624950868.8
19,1514851200,15306.13,12934.16,13444.88,137732.17,1956783037.35,14754.13,direct,,8037229546.83,3052853464.69,11090083011.52,9289285231.79,3570971887.24,12860257119.03,18269558932.07,8417555165.69,26687114097.76,18079299556.86
20,1514937600,15435.01,14579.71,14754.09,106543.39,1604206990.04,15156.62,direct,,8546514279.34,2549724824.56,11096239103.89,9539068729.66,2998042790.67,12537111520.34,18824304390.94,7201207534.88,26025511925.82,18189493612.83
21,1515024000,15408.66,14244.67,15156.49,110968.82,1656714736.62,15180.08,direct,,11328477618.01,2987440654.8,14315918424.61,10618416472.94,3087925194.36,13706341667.3,22859653174.45,8059488072.62,30919141247.07,20032378454.53
22,1515110400,17126.95,14832.36,15180.08,141960.42,2283988962.92,16954.78,direct,,12390238204.19,4162847622.12,16553085826.31,14056719122.14,4822096094.17,18878815216.31,27584997256.33,11533528938.73,39118526195.06,25717907550.96
23,1515196800,17252.85,16286.57,16954.76,83927.99,1412703790.73,17172.3,direct,,8332181642.93,2659140786.66,10991322429.59,9725593581.83,3150088944.4,12875682354.51,19156382046.86,7917867621.51,27074249668.37,18149432547.74
24,1515283200,17184.81,15791.13,17174.5,79006.37,1309532650.11,16228.16,direct,,6918235652.81,2035518069.44,8953753722.24,8277189560.72,2469004354.79,10746193915.52,16294351905.85,6275756793.99,22570108699.84,15751077736.49
25,1515369600,16302.92,13902.31,16228.26,142453.96,2166366561.33,14976.17,direct,,7703014904.71,3422966294.71,11125981199.41,8585553114.72,3705929345.44,12291482460.17,17393742871.24,9483523968.4,26877266839.64,18643697300.57
26,1515456000,15390.28,14221.55,14976.17,99730.65,1486802326.34,14468.5,direct,,7682361147.75,2527199728.67,10209560876.41,8284331771.35,2653560662.79,10937892434.14,17062450298.1,7022567019.22,24085017317.32,16788576061.6
27,1515542400,14919.49,13450.54,14468.09,142303.9,2025083791.13,14919.49,direct,,8239387417.91,3193599339.28,11432986757.19,9680555994.16,3683088410.84,13363644255.81,19118000390.73,9012091527.0,28130092066.93,21205171843.56
28,1515628800,14979.96,12825.95,14920.36,173452.27,2373494121.74,13308.06,direct,,6612824120.74,3541877887.28,10154702141.1,7876480311.59,4097313725.89,11973794037.48,15401613067.24,10086598010.97,25488211078.21,19184825835.51
29,1515715200,14129.08,12851.91,13308.06,102068.02,1402292716.89,13841.19,direct,,5010035196.71,2267628317.55,7277663652.67,6000345212.48,2650388571.86,8650733784.34,11767197439.14,6782666434.35,18549863873.49,13533982019.71
30,1515801600,14595.04,13830.28,13841.19,71300.93,1021352776.21,14243.12,direct,,6283578853.61,1682919772.04,7966498483.22,7338589683.43,1938487492.55,9277077175.98,14525888803.79,5023737715.06,19549626518.86,14849890870.26
31,1515888000,14415.67,13031.91,14244.12,81536.0,1112590573.36,13638.63,direct,,4635317807.26,1842776673.14,6478094616.78,5742261887.15,2105908398.36,7848170285.52,11253394412.45,5546785949.91,16800180225.97,12672815735.62
32,1515974400,14355.82,13416.71,13638.63,84089.84,1170462750.59,13631.98,direct,,4983560981.55,1884272392.63,6867833374.18,6067415037.46,2225149185.96,8292564223.42,11867333412.02,5437383500.37,17304716912.39,12812226744.45
33,1516060800,13648.84,10032.69,13634.6,325702.79,3842651741.45,11282.49,direct,,5785885055.08,5800279481.47,11586164536.54,6751340247.94,6579903827.81,13331244188.58,13328238758.89,15369337890.83,28697576649.73,23146141285.55
34,1516147200,11736.3,9205.38,11282.49,348631.94,3666978316.26,11162.7,direct,,5412750365.23,6317819848.69,11730570213.92,6237303740.1,7154529850.37,13391833702.1,12334504209.25,16617897759.88,28952401857.5,22616165228.21
35,1516233600,12018.43,10642.33,11162.7,204918.02,2357251805.09,11175.52,direct,,4864931836.61,4055895376.67,8920827213.28,5090180700.5,4615542396.7,9705723097.2,10683498733.62,10926321549.73,21609820283.34,17408256697.19
36,1516320000,11780.49,10867.18,11175.52,110885.87,1264875700.45,11521.76,direct,,3781892248.03,2632191352.52,6414083600.55,4138821970.63,2754784146.31,6893606116.94,8598077221.67,7080714660.2,15678791881.88,11543258912.85
37,1516406400,13031.04,11502.11,11521.82,119084.84,1492721765.44,12783.94,direct,,3835955044.85,2783776186.98,6619731231.83,4824665859.33,3249128989.13,8073794848.46,9296862129.41,8001346726.41,17298208727.98,12959270586.55
38,1516492800,12787.35,11101.73,12783.54,130427.64,1552755289.93,11549.93,direct,,2820426840.4,2704668937.47,5525095777.87,3603221498.16,3198713497.24,6801935110.9,6945773550.15,7934387614.01,14880161048.66,11521952604.56
39,1516579200,11913.74,10067.76,11549.98,165723.08,1811992345.95,10814.52,direct,,3230038008.1,3178968384.01,6409006392.12,4046645116.93,3630185521.89,7676830638.83,7745689283.15,8860818347.3,16606507738.6,12546447858.48
40,1516665600,11388.52,9980.5,10814.52,158868.59,1710180828.64,10858.23,direct,,2835218169.31,2994527622.47,5829745791.78,3441330214.18,3442188122.94,6883518337.12,6685373447.12,8056951617.37,14742325064.49,11470800085.75
41,1516752000,11531.6,10506.55,10853.78,115804.82,1286435482.05,11429.02,direct,,3221920969.72,2426913652.62,5648834622.34,3918987871.38,2804499215.13,6723486972.22,7611404907.35,6820503808.55,14431908715.9,10571626920.07
42,1516838400,11741.92,10930.34,11428.11,93317.76,1061064251.44,11175.87,direct,,2796060405.17,1997813273.35,4793873678.52,3315030368.81,2272606235.46,5587636604.27,6472812223.41,5542602095.0,12015414318.41,9022903129.27
43,1516924800,11656.54,10346.86,11175.87,142350.84,1560135332.27,11104.2,direct,,2922402134.54,2916949750.25,5839351884.79,3592145517.1,3301517511.34,6893663028.44,6964068875.42,7806025297.03,14770094172.44,10796986761.12
44,1517011200,11638.69,10879.2,11104.34,90873.81,1031091633.68,11459.71,direct,,2389272411.15,1954777621.1,4344050146.85,2981019060.78,2211899821.95,5192918882.73,5778696742.41,5601972085.21,11380668713.02,7923101508.19
45,1517097600,12064.19,11407.94,11460.39,87917.22,1038153169.8,11767.74,direct,,2975818559.85,1876376733.97,4852195293.81,3596357261.4,2191539287.55,5787896548.95,7039286611.0,5273514982.97,12312801593.96,9939881658.05
46,1517184000,11860.29,11089.52,11767.74,80713.7,920836244.04,11233.95,direct,,2400112410.01,1635652110.73,4035764520.74,2891692424.71,1927017410.68,4818709947.73,5709993004.72,4889567638.0,10599560642.72,8038130508.14
47,1517270400,11263.7,9871.21,11234.32,164072.93,1720894077.2,10107.26,direct,,2512363942.87,2745739464.47,5258103407.34,3083470525.19,3089179813.15,6172650338.34,6021143622.74,7540393365.09,13561537088.9,10409527010.05
48,1517356800,10377.96,9698.13,10107.4,122260.49,1230902973.11,10226.86,direct,,2341471300.27,2218869145.87,4560340343.87,2941638567.84,2493245777.35,5434884242.92,5725434142.15,6497963271.86,12223397414.01,8969232038.41
49,1517443200,10280.84,8726.95,10226.86,208918.8,1964308989.29,9114.72,direct,,2815146533.4,3308793570.59,6123940103.98,3458692159.32,3635689995.53,7094382154.85,6848826129.22,9581771560.29,16430597689.51,11975855491.19
